stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9022050043502001,Forsbo östra,60.169275,16.569598,0,43502,A
9022050043502002,Forsbo östra,60.169338,16.569581,0,43502,B
9022050043503001,Gåddarbo,60.129417,16.596544,0,43503,A
9022050043503002,Gåddarbo,60.129255,16.596540,0,43503,B
9022050043504001,Gammelby,60.127450,16.579963,0,43504,A
9022050043504002,Gammelby,60.127360,16.579997,0,43504,B
9022050043506001,Lennartkärr,59.949760,16.532961,0,43506,A
9022050043506002,Lennartkärr,59.949661,16.533013,0,43506,B
9022050043507001,N Heden,60.142472,16.544479,0,43507,A
9022050043507002,N Heden,60.142427,16.544370,0,43507,B
9022050043508001,Änglunds,60.136377,16.550983,0,43508,A
9022050043508002,Änglunds,60.136430,16.551111,0,43508,B
9022050043509001,Örlinge,60.129584,16.563245,0,43509,A
9022050043509002,Örlinge,60.129478,16.563062,0,43509,B
9022050043510001,Sonnbo,60.125689,16.567976,0,43510,A
9022050043510002,Sonnbo,60.125645,16.567760,0,43510,B
9022050043511001,Norrberg (Sala),59.920319,16.624787,0,43511,A
9022050043511002,Norrberg (Sala),59.920199,16.625195,0,43511,B
9022050043512001,Smedsbo,60.011769,16.271534,0,43512,A
9022050043512002,Smedsbo,60.011725,16.271480,0,43512,B
9022050043513001,Hyttbacken,60.016418,16.269035,0,43513,A
9022050043513002,Hyttbacken,60.016374,16.268927,0,43513,B
9022050043514001,Västerbykil bygdegård,60.019797,16.267917,0,43514,A
9022050043514002,Västerbykil bygdegård,60.019771,16.267827,0,43514,B
9022050043515001,Nergården,60.019843,16.282729,0,43515,A
9022050043515002,Nergården,60.019888,16.282730,0,43515,B
9022050043516001,Mälby vsk,60.019676,16.294078,0,43516,A
9022050043516002,Mälby vsk,60.019739,16.294097,0,43516,B
9022050043517001,Hedåker,60.022492,16.306727,0,43517,A
9022050043517002,Hedåker,60.022666,16.305940,0,43517,B
9022050043518001,Smulsnaret,60.011285,16.344689,0,43518,A
9022050043518002,Smulsnaret,60.011285,16.344761,0,43518,B
9022050043519001,Viggsjön,60.000019,16.347105,0,43519,A
9022050043519002,Viggsjön,60.000019,16.347123,0,43519,B
9022050043520001,Duvmuren,59.988401,16.339086,0,43520,A
9022050043520002,Duvmuren,59.988285,16.339102,0,43520,B
9022050043521001,Tappebo,59.984385,16.335708,0,43521,A
9022050043521002,Tappebo,59.984384,16.335923,0,43521,B
9022050043522001,Hedbo S,59.951247,16.342015,0,43522,A
9022050043522002,Hedbo S,59.950772,16.341918,0,43522,B
9022050043523001,Knipkällan,59.946858,16.341998,0,43523,A
9022050043523002,Knipkällan,59.946597,16.342173,0,43523,B
9022050043524001,Tvärhandsbäcken,59.941997,16.341204,0,43524,A
9022050043524002,Tvärhandsbäcken,59.942077,16.341366,0,43524,B
9022050043525001,Hagaberg,59.936042,16.339946,0,43525,A
9022050043525002,Hagaberg,59.936149,16.340072,0,43525,B
9022050043526001,Åsen,59.931779,16.339823,0,43526,A
9022050043526002,Åsen,59.931022,16.340384,0,43526,B
9022050043527001,Solliden,59.922141,16.345873,0,43527,A
9022050043527002,Solliden,59.921654,16.346419,0,43527,B
9022050043528001,Salbohedsskolan,59.916547,16.348499,0,43528,A
9022050043528002,Salbohedsskolan,59.916484,16.348623,0,43528,B
9022050043529001,Sund,60.049815,16.636660,0,43529,A
9022050043529002,Sund,60.049454,16.636974,0,43529,B
9022050043530001,Lisselbo,60.072022,16.610384,0,43530,A
9022050043530002,Lisselbo,60.071987,16.610239,0,43530,B
9022050043531001,Nordankil S,60.082390,16.596856,0,43531,A
9022050043531002,Nordankil S,60.082364,16.596694,0,43531,B
9022050043532001,Västankil,60.084843,16.582846,0,43532,A
9022050043532002,Västankil,60.084789,16.582845,0,43532,B
9022050043533001,Åsvägen,60.085321,16.546292,0,43533,A
9022050043533002,Åsvägen,60.085231,16.546380,0,43533,B
9022050043534001,Hammarby,60.084129,16.536365,0,43534,A
9022050043534002,Hammarby,60.084075,16.536436,0,43534,B
9022050043535001,Visbäck,60.085619,16.523156,0,43535,A
9022050043535002,Visbäck,60.085538,16.523172,0,43535,B
9022050043536001,Norrvad vsk,60.076765,16.481252,0,43536,A
9022050043536002,Norrvad vsk,60.076765,16.481306,0,43536,B
9022050043537001,Nässelbo,60.082471,16.445598,0,43537,A
9022050043537002,Nässelbo,60.082426,16.445651,0,43537,B
9022050043538001,Rosshyttan ruin,60.070153,16.371420,0,43538,A
9022050043538002,Rosshyttan ruin,60.070107,16.371671,0,43538,B
9022050043539001,Rosshyttan östra,60.070821,16.362110,0,43539,A
9022050043539002,Rosshyttan östra,60.070794,16.362110,0,43539,B
9022050043540001,Knutshyttan vsk,60.015043,16.341075,0,43540,A
9022050043540002,Knutshyttan vsk,60.015412,16.340776,0,43540,B
9022050043541001,Skogslund,60.076516,16.388288,0,43541,A
9022050043541002,Skogslund,60.076444,16.388323,0,43541,B
9022050043542001,Mamre,59.932553,16.611728,0,43542,A
9022050043542002,Mamre,59.932156,16.610591,0,43542,B
9022050043543001,Alderbäck vsk,60.139452,16.612929,0,43543,A
9022050043543002,Alderbäck vsk,60.139424,16.613054,0,43543,B
9022050043544001,Ingborgbo,59.995604,16.641555,0,43544,A
9022050043544002,Ingborgbo,59.995543,16.641284,0,43544,B
9022050043545001,Kyrkskogen,60.086537,16.558322,0,43545,A
9022050043545002,Kyrkskogen,60.086483,16.558429,0,43545,B
9022050043546001,Vad vsk,59.803861,16.616034,0,43546,A
9022050043546002,Vad vsk,59.803839,16.616692,0,43546,B
9022050043547001,Limsta,59.805662,16.588407,0,43547,A
9022050043547002,Limsta,59.805643,16.588513,0,43547,B
9022050043548001,Ölsta skola,59.964330,16.700634,0,43548,A
9022050043549001,Myran,60.156541,16.605713,0,43549,A
9022050043549002,Myran,60.156459,16.605837,0,43549,B
9022050043550001,Olsbo Gård,59.854014,16.473150,0,43550,A
9022050043550002,Olsbo Gård,59.854031,16.473257,0,43550,B
9022050043551001,Klövsjö Gård,60.010330,16.502899,0,43551,A
9022050043551002,Klövsjö Gård,60.010224,16.502646,0,43551,B
9022050043552001,Östankil,60.077413,16.603509,0,43552,A
9022050043552002,Östankil,60.077397,16.603239,0,43552,B
9022050043553001,Varmsätra skola,59.869814,16.719678,0,43553,A
9022050043554001,Leckenbo (Möklinta),60.085395,16.504662,0,43554,A
9022050043554002,Leckenbo (Möklinta),60.085367,16.504823,0,43554,B
9022050043555001,Lungbo (Brobacke),60.003778,16.336573,0,43555,A
9022050043556001,Knutshyttan (Brobacke),60.015630,16.331008,0,43556,A
9022050043556002,Knutshyttan (Brobacke),60.015836,16.331334,0,43556,B
9022050043557001,Hedbostängslet (Salbohed),59.962915,16.340091,0,43557,A
9022050043557002,Hedbostängslet (Salbohed),59.963390,16.340278,0,43557,B
9022050043558001,Västerfärnebo skola,59.944572,16.277695,0,43558,A
9022050043559001,Halvars (Kärrbäck),59.934219,16.731358,0,43559,A
9022050043559002,Halvars (Kärrbäck),59.933978,16.731065,0,43559,B
9022050043560001,Johanneslund vsk (Sala),59.933359,16.674259,0,43560,A
9022050043560002,Johanneslund vsk (Sala),59.933302,16.674758,0,43560,B
9022050043561001,Öja (Sala),59.902846,16.658166,0,43561,A
9022050043561002,Öja (Sala),59.902943,16.658419,0,43561,B
9022050043562001,Norra Kumlaby (Varmsätra),59.899028,16.658587,0,43562,A
9022050043562002,Norra Kumlaby (Varmsätra),59.899144,16.658768,0,43562,B
9022050043563001,Södra Kumlaby (Varmsätra),59.891449,16.663251,0,43563,A
9022050043563002,Södra Kumlaby (Varmsätra),59.891296,16.663390,0,43563,B
9022050043564001,Norrbäck vsk (Varmsätra),59.887887,16.665750,0,43564,A
9022050043564002,Norrbäck vsk (Varmsätra),59.888112,16.665738,0,43564,B
9022050043565001,Norrbäck skolhållplats,59.894631,16.672248,0,43565,A
9022050043566001,Sörbäck V (Varmsätra),59.882889,16.671032,0,43566,A
9022050043566002,Sörbäck V (Varmsätra),59.883140,16.671092,0,43566,B
9022050043567001,Sörbäck Ö (Varmsätra),59.879973,16.683028,0,43567,A
9022050043567002,Sörbäck Ö (Varmsätra),59.879923,16.683776,0,43567,B
9022050043568001,Gamsebo N (Varmsätra),59.877982,16.692153,0,43568,A
9022050043568002,Gamsebo N (Varmsätra),59.877682,16.694110,0,43568,B
9022050043569001,Gamsebo S (Varmsätra),59.876024,16.697637,0,43569,A
9022050043569002,Gamsebo S (Varmsätra),59.876331,16.697413,0,43569,B
9022050043570001,Varmsätra N,59.871389,16.708617,0,43570,A
9022050043570002,Varmsätra N,59.871550,16.708693,0,43570,B
9022050043571001,Källtorpet (Västerbykil),60.025738,16.219449,0,43571,A
9022050043571002,Källtorpet (Västerbykil),60.026071,16.219238,0,43571,B
9022050043572001,Björsbo,60.023769,16.264045,0,43572,A
9022050043574001,Östra Tulegatan,59.915912,16.614489,0,43574,A
9022050043574002,Östra Tulegatan,59.915678,16.614662,0,43574,B
9022050043575001,Fridhemsgatan,59.917152,16.625925,0,43575,A
9022050043575002,Fridhemsgatan,59.917033,16.626279,0,43575,B
9022050043576001,Långgatan,59.919204,16.619307,0,43576,A
9022050043576002,Långgatan,59.919139,16.619519,0,43576,B
9022050043577001,Norrby Boda,59.930921,16.717673,0,43577,A
9022050043577002,Norrby Boda,59.930972,16.718032,0,43577,B
9022050043578001,Modigsbacke,59.921434,16.645769,0,43578,A
9022050043578002,Modigsbacke,59.921379,16.646000,0,43578,B
9022050043579001,Norrby Prästgård,59.914993,16.628052,0,43579,A
9022050043579002,Norrby Prästgård,59.915435,16.627849,0,43579,B
9022050043580001,Nyby S,59.990280,16.687323,0,43580,B
9022050043581001,Skräddarbo N,60.112414,16.556916,0,43581,A
9022050043581002,Skräddarbo N,60.112414,16.556826,0,43581,B
9022050043582001,Forsbo V,60.167513,16.563757,0,43582,A
9022050043582002,Forsbo V,60.167504,16.563756,0,43582,B
9022050043583001,Sörby (Varmsätra),59.911158,16.632855,0,43583,A
9022050043583002,Sörby (Varmsätra),59.911229,16.632982,0,43583,B
9022050043584001,Lugnet vsk,60.003156,16.346152,0,43584,A
9022050043584002,Lugnet vsk,60.003164,16.346242,0,43584,B
9022050043585001,Eljansbo,59.928450,16.695609,0,43585,A
9022050043585002,Eljansbo,59.928324,16.695784,0,43585,B
9022050043586001,Svepnäs,59.924247,16.656569,0,43586,A
9022050043586002,Svepnäs,59.924245,16.656891,0,43586,B
9022050043587001,Gymnasiegatan,59.909892,16.613949,0,43587,A
9022050043587002,Gymnasiegatan,59.909981,16.615578,0,43587,B
9022050043588001,Fallänge,60.020321,16.235072,0,43588,A
9022050043588002,Fallänge,60.020403,16.234768,0,43588,B
9022050043590001,Paradiset,59.974860,16.497122,0,43590,A
9022050043590002,Paradiset,59.974581,16.497331,0,43590,B
9022050043591001,Hassmyra södra,59.870989,16.373089,0,43591,A
