agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_fare_url
505000000000000173,Stavsnäs båttaxi,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000174,Mälartåg ersättningstrafik,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000175,Falcks Omnibus AB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000178,SJ Norge,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000179,Bussbolaget Östergötland,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000182,Tåg i Bergslagen AB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000601,X-Trafik Kundtjänst,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000603,Kommuner i Stockholms Län,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000605,Färdtjänstnämnden,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000606,Waxholmsbolaget Ångfartygs AB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000607,AB SL Kundtjänst,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000608,Vägverket Färjerederiet AB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000610,Trafikverket,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000612,People Travel Group AB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000613,A-Train AB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000614,A-train AB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000627,Nettbuss Express AB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000629,Flygbussarna Airport Coaches AB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000631,Trafikverket,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000633,Västtrafik Göteborgsområdet AB Lokaltrafik AB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000635,Kungälvs kommun,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000636,Öresundståg,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000639,Trafikverket,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000640,Flygbussarna Airport Coaches AB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000643,Swebus Express,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000644,Dal-Västra Värmlands Järnväg,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000645,Testföretaget AB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000647,Karlstadsbuss,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000648,Hogia Public Transport Systems AB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000653,Dalatrafik Kundtjänst,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000655,Värmlandstrafiken AB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000665,Mälardalstrafik,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000676,Västtrafik Skaraborg,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000688,Västra Götalands län,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000689,Vy Buss AB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000690,Flixbus,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000696,Luleå Lokaltrafik,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000706,Skellefteåbuss,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000708,Skånetrafiken,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000709,Tåg i Bergslagen,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000710,Krösatåg KLT,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000711,DVVJ,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000712,Norrtåg,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000713,X-Trafik,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000714,Järnvägsföretag,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000715,Värmlandstrafik,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000716,Krösatågen,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000717,Järnvägsföretag Museijärnväg,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000718,SJ,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000719,TÅGAB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000720,Skånetrafiken,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000721,Västtrafik,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000722,DK,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000723,Museiföreningen Östra Skånes Järnvägar,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000724,SL Pendeltåg,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000725,Järnvägsföretag,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000726,ATRAIN,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000727,MTRX,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000728,Museijärnvägar,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000729,Öresundståg,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000730,MTRX,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000731,Pågatåg,https://www.resrobot.se/,Europe/Stockholm,sv,
